framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1683123803242799,289517,2398,38857,0,0,0.002
1,1683123803246779,289518,2398,42864,0,0,251.256
2,1683123803250775,289519,2398,46871,0,0,250.250
3,1683123803254783,289520,2398,50876,0,0,249.501
4,1683123803258820,289521,2398,54883,0,0,247.709
5,1683123803262809,289522,2398,58887,0,0,250.689
6,1683123803266817,289523,2398,62894,0,0,249.501
7,1683123803270816,289524,2398,66901,0,0,250.063
8,1683123803274825,289525,2398,70906,0,0,249.439
9,1683123803278827,289526,2398,74913,0,0,249.875
10,1683123803282822,289527,2398,78920,0,0,250.313
11,1683123803286822,289528,2398,82924,0,0,250.000
12,1683123803290819,289529,2398,86931,0,0,250.188
13,1683123803294844,289530,2398,90938,0,0,248.447
14,1683123803298859,289531,2398,94943,0,0,249.066
15,1683123803302860,289532,2398,98950,0,0,249.938
16,1683123803306874,289533,2398,102957,0,0,249.128
17,1683123803310875,289534,2398,106961,0,0,249.938
18,1683123803314875,289535,2398,110968,0,0,250.000
19,1683123803318888,289536,2398,114975,0,0,249.190
20,1683123803323406,289537,2398,118980,0,0,221.337
21,1683123803326900,289538,2398,122987,0,0,286.205
22,1683123803330888,289539,2398,126994,0,0,250.752
23,1683123803334917,289540,2398,130998,0,0,248.201
24,1683123803338942,289541,2398,135005,0,0,248.447
25,1683123803342934,289542,2398,139012,0,0,250.501
26,1683123803347008,289543,2398,143017,0,0,245.459
27,1683123803350991,289544,2398,147024,0,0,251.067
28,1683123803354948,289545,2398,151028,0,0,252.717
29,1683123803358976,289546,2398,155035,0,0,248.262
30,1683123803362949,289547,2398,159042,0,0,251.699
31,1683123803366974,289548,2398,163047,0,0,248.447
32,1683123803371054,289549,2398,167054,0,0,245.098
33,1683123803375055,289550,2398,171061,0,0,249.938
34,1683123803379006,289551,2398,175065,0,0,253.100
35,1683123803383065,289552,2398,179072,0,0,246.366
36,1683123803387347,289553,2398,183079,0,0,233.536
37,1683123803391368,289554,2398,187084,0,0,248.694
38,1683123803395364,289555,2398,191091,0,0,250.250
39,1683123803399420,289556,2398,195098,0,0,246.548
40,1683123803403072,289557,2398,199102,0,0,273.823
41,1683123803407083,289558,2398,203109,0,0,249.314
42,1683123803411027,289559,2398,207116,0,0,253.550
