framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1683124312303093,416588,2907,101439,0,0,0.002
1,1683124312306823,416589,2907,105446,0,0,268.097
2,1683124312311086,416590,2907,109450,0,0,234.577
3,1683124312315090,416591,2907,113457,0,0,249.750
4,1683124312319089,416592,2907,117462,0,0,250.063
5,1683124312323071,416593,2907,121469,0,0,251.130
6,1683124312327106,416594,2907,125476,0,0,247.831
7,1683124312331107,416595,2907,129480,0,0,249.938
8,1683124312335121,416596,2907,133487,0,0,249.128
9,1683124312339133,416597,2907,137494,0,0,249.252
10,1683124312343134,416598,2907,141499,0,0,249.938
11,1683124312347132,416599,2907,145506,0,0,250.125
12,1683124312351123,416600,2907,149513,0,0,250.564
13,1683124312355142,416601,2907,153517,0,0,248.818
14,1683124312358971,416602,2907,157524,0,0,261.165
15,1683124312363146,416603,2907,161531,0,0,239.521
16,1683124312367258,416604,2907,165536,0,0,243.191
17,1683124312371188,416605,2907,169543,0,0,254.453
18,1683124312374920,416606,2907,173550,0,0,267.953
19,1683124312379184,416607,2907,177554,0,0,234.522
20,1683124312383297,416608,2907,181561,0,0,243.132
21,1683124312387207,416609,2907,185568,0,0,255.754
22,1683124312391307,416610,2907,189573,0,0,243.902
23,1683124312395212,416611,2907,193580,0,0,256.082
24,1683124312399345,416612,2907,197587,0,0,241.955
25,1683124312403289,416613,2907,201591,0,0,253.550
26,1683124312407176,416614,2907,205598,0,0,257.268
27,1683124312411313,416615,2907,209605,0,0,241.721
28,1683124312415320,416616,2907,213610,0,0,249.563
29,1683124312419334,416617,2907,217617,0,0,249.128
30,1683124312423322,416618,2907,221621,0,0,250.752
31,1683124312427352,416619,2907,225628,0,0,248.139
32,1683124312431344,416620,2907,229635,0,0,250.501
33,1683124312435345,416621,2907,233640,0,0,249.938
34,1683124312439367,416622,2907,237647,0,0,248.633
35,1683124312443472,416623,2907,241654,0,0,243.605
36,1683124312447374,416624,2907,245658,0,0,256.279
37,1683124312451386,416625,2907,249665,0,0,249.252
38,1683124312455382,416626,2907,253672,0,0,250.250
39,1683124312459281,416627,2907,257677,0,0,256.476
40,1683124312463393,416628,2907,261684,0,0,243.191
41,1683124312467344,416629,2907,265691,0,0,253.100
42,1683124312471309,416630,2907,269695,0,0,252.207
43,1683124312475074,416631,2907,273702,0,0,265.604
44,1683124312479346,416632,2907,277709,0,0,234.082
45,1683124312483427,416633,2907,281714,0,0,245.038
46,1683124312487431,416634,2907,285721,0,0,249.750
47,1683124312491433,416635,2907,289728,0,0,249.875
48,1683124312495443,416636,2907,293732,0,0,249.377
49,1683124312499464,416637,2907,297739,0,0,248.694
50,1683124312503444,416638,2907,301746,0,0,251.256
51,1683124312507401,416639,2907,305751,0,0,252.717
52,1683124312511477,416640,2907,309758,0,0,245.339
53,1683124312515471,416641,2907,313762,0,0,250.376
54,1683124312519492,416642,2907,317769,0,0,248.694
55,1683124312523482,416643,2907,321776,0,0,250.627
56,1683124312527508,416644,2907,325780,0,0,248.385
57,1683124312531506,416645,2907,329788,0,0,250.125
58,1683124312535513,416646,2907,333795,0,0,249.563
59,1683124312539506,416647,2907,337799,0,0,250.438
60,1683124312543552,416648,2907,341806,0,0,247.158
61,1683124312547573,416649,2907,345813,0,0,248.694
62,1683124312551237,416650,2907,349817,0,0,272.926
63,1683124312555206,416651,2907,353825,0,0,251.953
64,1683124312559181,416652,2907,357832,0,0,251.572
65,1683124312563185,416653,2907,361836,0,0,249.750
66,1683124312567183,416654,2907,365843,0,0,250.125
67,1683124312571295,416655,2907,369850,0,0,243.191
68,1683124312575063,416656,2907,373854,0,0,265.393
69,1683124312578912,416657,2907,377862,0,0,259.808
70,1683124312582950,416658,2907,381869,0,0,247.647
71,1683124312586843,416659,2907,385873,0,0,256.871
72,1683124312596365,416660,2907,389880,0,0,105.020
73,1683124312596916,416661,2907,393887,0,0,1814.882
74,1683124312598820,416662,2907,397891,0,0,525.210
75,1683124312602706,416663,2907,401899,0,0,257.334
76,1683124312606810,416664,2907,405906,0,0,243.665
77,1683124312610816,416665,2907,409910,0,0,249.626
78,1683124312614952,416666,2907,413917,0,0,241.779
79,1683124312618820,416667,2907,417921,0,0,258.532
80,1683124312622804,416668,2907,421928,0,0,251.004
81,1683124312626808,416669,2907,425936,0,0,249.750
82,1683124312631181,416670,2907,429940,0,0,228.676
83,1683124312634876,416671,2907,433947,0,0,270.636
84,1683124312638881,416672,2907,437954,0,0,249.688
85,1683124312642876,416673,2907,441958,0,0,250.313
86,1683124312646898,416674,2907,445965,0,0,248.633
87,1683124312650891,416675,2907,449973,0,0,250.438
88,1683124312654896,416676,2907,453977,0,0,249.688
89,1683124312658904,416677,2907,457984,0,0,249.501
90,1683124312662917,416678,2907,461991,0,0,249.190
91,1683124312666918,416679,2907,465995,0,0,249.938
92,1683124312670923,416680,2907,470002,0,0,249.688
93,1683124312674938,416681,2907,474010,0,0,249.066
94,1683124312678980,416682,2907,478014,0,0,247.402
95,1683124312683018,416683,2907,482021,0,0,247.647
96,1683124312687010,416684,2907,486028,0,0,250.501
97,1683124312691094,416685,2907,490032,0,0,244.858
98,1683124312695185,416686,2907,494039,0,0,244.439
99,1683124312699753,416687,2907,498047,0,0,218.914
100,1683124312703818,416688,2907,502051,0,0,246.002
101,1683124312707793,416689,2907,506058,0,0,251.572
102,1683124312711812,416690,2907,510062,0,0,248.818
103,1683124312715480,416691,2907,514069,0,0,272.628
104,1683124312719823,416692,2907,518076,0,0,230.256
105,1683124312723805,416693,2907,522081,0,0,251.130
106,1683124312727809,416694,2907,526088,0,0,249.750
107,1683124312731834,416695,2907,530095,0,0,248.447
108,1683124312735833,416696,2907,534099,0,0,250.063
109,1683124312739843,416697,2907,538106,0,0,249.377
110,1683124312743834,416698,2907,542113,0,0,250.564
111,1683124312747842,416699,2907,546118,0,0,249.501
112,1683124312751866,416700,2907,550125,0,0,248.509
