framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1683124512263925,466502,3107,63366,0,0,0.005
1,1683124512267919,466503,3107,67370,0,0,250.376
2,1683124512271932,466504,3107,71377,0,0,249.190
3,1683124512275936,466505,3107,75384,0,0,249.750
4,1683124512279611,466506,3107,79389,0,0,272.109
5,1683124512283885,466507,3107,83396,0,0,233.973
6,1683124512287953,466508,3107,87403,0,0,245.821
7,1683124512291968,466509,3107,91407,0,0,249.066
8,1683124512295997,466510,3107,95414,0,0,248.201
9,1683124512299982,466511,3107,99421,0,0,250.941
10,1683124512304089,466512,3107,103426,0,0,243.487
11,1683124512308031,466513,3107,107433,0,0,253.678
12,1683124512312003,466514,3107,111440,0,0,251.762
13,1683124512316012,466515,3107,115444,0,0,249.439
14,1683124512320017,466516,3107,119451,0,0,249.688
15,1683124512324024,466517,3107,123458,0,0,249.563
16,1683124512328066,466518,3107,127463,0,0,247.402
17,1683124512332075,466519,3107,131470,0,0,249.439
18,1683124512336073,466520,3107,135477,0,0,250.125
19,1683124512340079,466521,3107,139481,0,0,249.626
20,1683124512343899,466522,3107,143488,0,0,261.780
21,1683124512348082,466523,3107,147493,0,0,239.063
22,1683124512352091,466524,3107,151500,0,0,249.439
23,1683124512356102,466525,3107,155507,0,0,249.314
24,1683124512360095,466526,3107,159511,0,0,250.438
25,1683124512364101,466527,3107,163518,0,0,249.626
26,1683124512368110,466528,3107,167525,0,0,249.439
27,1683124512372114,466529,3107,171530,0,0,249.750
28,1683124512376116,466530,3107,175537,0,0,249.875
29,1683124512380155,466531,3107,179544,0,0,247.586
30,1683124512384128,466532,3107,183548,0,0,251.699
31,1683124512388146,466533,3107,187555,0,0,248.880
32,1683124512392148,466534,3107,191562,0,0,249.875
33,1683124512396150,466535,3107,195567,0,0,249.875
34,1683124512400164,466536,3107,199574,0,0,249.128
35,1683124512403827,466537,3107,203581,0,0,273.000
36,1683124512408149,466538,3107,207585,0,0,231.374
37,1683124512412160,466539,3107,211592,0,0,249.314
38,1683124512416160,466540,3107,215599,0,0,250.000
39,1683124512420172,466541,3107,219604,0,0,249.252
40,1683124512424181,466542,3107,223611,0,0,249.439
41,1683124512428176,466543,3107,227618,0,0,250.313
42,1683124512432187,466544,3107,231622,0,0,249.314
43,1683124512436184,466545,3107,235629,0,0,250.188
44,1683124512440202,466546,3107,239634,0,0,248.880
45,1683124512443906,466547,3107,243641,0,0,269.978
46,1683124512448248,466548,3107,247648,0,0,230.309
47,1683124512452214,466549,3107,251652,0,0,252.143
48,1683124512456213,466550,3107,255659,0,0,250.063
49,1683124512460237,466551,3107,259666,0,0,248.509
50,1683124512464242,466552,3107,263671,0,0,249.688
51,1683124512468235,466553,3107,267678,0,0,250.438
52,1683124512472191,466554,3107,271685,0,0,252.781
53,1683124512476265,466555,3107,275689,0,0,245.459
54,1683124512480032,466556,3107,279696,0,0,265.463
55,1683124512484270,466557,3107,283703,0,0,235.960
56,1683124512488284,466558,3107,287708,0,0,249.128
57,1683124512492275,466559,3107,291715,0,0,250.564
58,1683124512496295,466560,3107,295722,0,0,248.756
59,1683124512500293,466561,3107,299726,0,0,250.125
60,1683124512504140,466562,3107,303733,0,0,259.943
61,1683124512508303,466563,3107,307740,0,0,240.211
62,1683124512512332,466564,3107,311745,0,0,248.201
63,1683124512516122,466565,3107,315752,0,0,263.852
64,1683124512520329,466566,3107,319756,0,0,237.699
65,1683124512524122,466567,3107,323763,0,0,263.644
66,1683124512528345,466568,3107,327770,0,0,236.798
67,1683124512532180,466569,3107,331775,0,0,260.756
68,1683124512536350,466570,3107,335782,0,0,239.808
69,1683124512540184,466571,3107,339789,0,0,260.824
70,1683124512543995,466572,3107,343793,0,0,262.398
71,1683124512548398,466573,3107,347800,0,0,227.118
72,1683124512552283,466574,3107,351807,0,0,257.400
73,1683124512556385,466575,3107,355812,0,0,243.784
74,1683124512560302,466576,3107,359819,0,0,255.297
75,1683124512564287,466577,3107,363826,0,0,250.941
76,1683124512568305,466578,3107,367830,0,0,248.880
77,1683124512572307,466579,3107,371837,0,0,249.875
78,1683124512576315,466580,3107,375844,0,0,249.501
79,1683124512580327,466581,3107,379849,0,0,249.252
80,1683124512584329,466582,3107,383856,0,0,249.875
81,1683124512588335,466583,3107,387863,0,0,249.626
82,1683124512592347,466584,3107,391867,0,0,249.252
83,1683124512596345,466585,3107,395874,0,0,250.125
84,1683124512600346,466586,3107,399881,0,0,249.938
