framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1683122717423954,18476,1312,214000,0,0,0.020
1,1683122717430097,18477,1312,218007,0,0,162.787
2,1683122717431668,18478,1312,222011,0,0,636.537
3,1683122717435598,18479,1312,226018,0,0,254.453
4,1683122717439748,18480,1312,230025,0,0,240.964
5,1683122717443458,18481,1312,234029,0,0,269.542
6,1683122717450701,18482,1312,238037,0,0,138.064
7,1683122717451616,18483,1312,242044,0,0,1092.896
8,1683122717455553,18484,1312,246048,0,0,254.001
9,1683122717459485,18485,1312,250055,0,0,254.323
10,1683122717463488,18486,1312,254062,0,0,249.813
11,1683122717467547,18487,1312,258066,0,0,246.366
12,1683122717471558,18488,1312,262074,0,0,249.314
13,1683122717475497,18489,1312,266078,0,0,253.872
14,1683122717479528,18490,1312,270085,0,0,248.077
15,1683122717483540,18491,1312,274092,0,0,249.252
16,1683122717487508,18492,1312,278096,0,0,252.016
17,1683122717491601,18493,1312,282103,0,0,244.320
18,1683122717495571,18494,1312,286111,0,0,251.889
19,1683122717499610,18495,1312,290115,0,0,247.586
20,1683122717503646,18496,1312,294122,0,0,247.770
21,1683122717507616,18497,1312,298129,0,0,251.889
22,1683122717511653,18498,1312,302133,0,0,247.709
23,1683122717515650,18499,1312,306140,0,0,250.188
24,1683122717519973,18500,1312,310148,0,0,231.321
25,1683122717523624,18501,1312,314152,0,0,273.898
26,1683122717527622,18502,1312,318159,0,0,250.125
27,1683122717531605,18503,1312,322166,0,0,251.067
28,1683122717535603,18504,1312,326170,0,0,250.125
29,1683122717539616,18505,1312,330177,0,0,249.190
30,1683122717543614,18506,1312,334185,0,0,250.125
31,1683122717547623,18507,1312,338189,0,0,249.439
32,1683122717551629,18508,1312,342196,0,0,249.626
33,1683122717555634,18509,1312,346203,0,0,249.688
34,1683122717559660,18510,1312,350207,0,0,248.385
35,1683122717563662,18511,1312,354214,0,0,249.875
36,1683122717567665,18512,1312,358222,0,0,249.813
37,1683122717571671,18513,1312,362226,0,0,249.626
38,1683122717575690,18514,1312,366233,0,0,248.818
39,1683122717580059,18515,1312,370237,0,0,228.885
40,1683122717583751,18516,1312,374244,0,0,270.856
41,1683122717587842,18517,1312,378251,0,0,244.439
42,1683122717591731,18518,1312,382256,0,0,257.136
43,1683122717595761,18519,1312,386263,0,0,248.139
44,1683122717599775,18520,1312,390270,0,0,249.128
45,1683122717603781,18521,1312,394274,0,0,249.626
46,1683122717607782,18522,1312,398281,0,0,249.938
47,1683122717611792,18523,1312,402288,0,0,249.377
48,1683122717615807,18524,1312,406293,0,0,249.066
49,1683122717619796,18525,1312,410300,0,0,250.689
50,1683122717623811,18526,1312,414307,0,0,249.066
51,1683122717627815,18527,1312,418311,0,0,249.750
52,1683122717631812,18528,1312,422318,0,0,250.188
53,1683122717635834,18529,1312,426325,0,0,248.633
54,1683122717639831,18530,1312,430330,0,0,250.188
55,1683122717643849,18531,1312,434337,0,0,248.880
56,1683122717647847,18532,1312,438344,0,0,250.125
57,1683122717651872,18533,1312,442348,0,0,248.447
58,1683122717655924,18534,1312,446355,0,0,246.792
59,1683122717659804,18535,1312,450362,0,0,257.732
60,1683122717663859,18536,1312,454367,0,0,246.609
61,1683122717667856,18537,1312,458374,0,0,250.188
62,1683122717671857,18538,1312,462378,0,0,249.938
63,1683122717675857,18539,1312,466385,0,0,250.000
64,1683122717679886,18540,1312,470392,0,0,248.201
65,1683122717683862,18541,1312,474397,0,0,251.509
66,1683122717687885,18542,1312,478404,0,0,248.571
67,1683122717691886,18543,1312,482411,0,0,249.938
68,1683122717695889,18544,1312,486415,0,0,249.813
69,1683122717699896,18545,1312,490422,0,0,249.563
70,1683122717703910,18546,1312,494429,0,0,249.128
71,1683122717707906,18547,1312,498434,0,0,250.250
72,1683122717711918,18548,1312,502441,0,0,249.252
73,1683122717715940,18549,1312,506448,0,0,248.633
74,1683122717719936,18550,1312,510452,0,0,250.250
75,1683122717723946,18551,1312,514459,0,0,249.377
76,1683122717727932,18552,1312,518466,0,0,250.878
77,1683122717731969,18553,1312,522471,0,0,247.709
78,1683122717735949,18554,1312,526478,0,0,251.256
79,1683122717739966,18555,1312,530485,0,0,248.942
80,1683122717743984,18556,1312,534489,0,0,248.880
81,1683122717748001,18557,1312,538496,0,0,248.942
82,1683122717751999,18558,1312,542503,0,0,250.125
83,1683122717756005,18559,1312,546508,0,0,249.626
84,1683122717760016,18560,1312,550515,0,0,249.314
85,1683122717763991,18561,1312,554519,0,0,251.572
86,1683122717768010,18562,1312,558526,0,0,248.818
87,1683122717772002,18563,1312,562533,0,0,250.501
88,1683122717776017,18564,1312,566538,0,0,249.066
89,1683122717780340,18565,1312,570545,0,0,231.321
90,1683122717784337,18566,1312,574552,0,0,250.188
91,1683122717788309,18567,1312,578556,0,0,251.762
92,1683122717792353,18568,1312,582563,0,0,247.280
93,1683122717796361,18569,1312,586570,0,0,249.501
94,1683122717800368,18570,1312,590575,0,0,249.563
95,1683122717804380,18571,1312,594582,0,0,249.252
96,1683122717808378,18572,1312,598589,0,0,250.125
97,1683122717812378,18573,1312,602593,0,0,250.000
98,1683122717816093,18574,1312,606600,0,0,269.179
99,1683122717820480,18575,1312,610607,0,0,227.946
100,1683122717824506,18576,1312,614612,0,0,248.385
101,1683122717828568,18577,1312,618619,0,0,246.184
102,1683122717832555,18578,1312,622626,0,0,250.815
103,1683122717836557,18579,1312,626630,0,0,249.875
104,1683122717840573,18580,1312,630637,0,0,249.004
105,1683122717844581,18581,1312,634644,0,0,249.501
106,1683122717848583,18582,1312,638649,0,0,249.875
107,1683122717852581,18583,1312,642656,0,0,250.125
108,1683122717856594,18584,1312,646660,0,0,249.190
109,1683122717860606,18585,1312,650667,0,0,249.252
110,1683122717864641,18586,1312,654674,0,0,247.831
111,1683122717868630,18587,1312,658679,0,0,250.689
112,1683122717872616,18588,1312,662686,0,0,250.878
113,1683122717876637,18589,1312,666693,0,0,248.694
114,1683122717880642,18590,1312,670697,0,0,249.688
115,1683122717884666,18591,1312,674704,0,0,248.509
116,1683122717888789,18592,1312,678711,0,0,242.542
117,1683122717892565,18593,1312,682716,0,0,264.831
118,1683122717896675,18594,1312,686723,0,0,243.309
119,1683122717900765,18595,1312,690730,0,0,244.499
120,1683122717905552,18596,1312,694734,0,0,208.899
121,1683122717909499,18597,1312,698741,0,0,253.357
122,1683122717912384,18598,1312,702748,0,0,346.620
123,1683122717916193,18599,1312,706753,0,0,262.536
124,1683122717920277,18600,1312,710760,0,0,244.858
125,1683122717924258,18601,1312,714767,0,0,251.193
126,1683122717928254,18602,1312,718771,0,0,250.250
127,1683122717932274,18603,1312,722778,0,0,248.756
128,1683122717936245,18604,1312,726785,0,0,251.826
129,1683122717940231,18605,1312,730790,0,0,250.878
130,1683122717944223,18606,1312,734797,0,0,250.501
131,1683122717948246,18607,1312,738801,0,0,248.571
132,1683122717952286,18608,1312,742808,0,0,247.525
133,1683122717956311,18609,1312,746815,0,0,248.447
134,1683122717960812,18610,1312,750820,0,0,222.173
135,1683122717964796,18611,1312,754827,0,0,251.004
136,1683122717968802,18612,1312,758834,0,0,249.626
137,1683122717972803,18613,1312,762838,0,0,249.938
138,1683122717976824,18614,1312,766845,0,0,248.694
139,1683122717980817,18615,1312,770852,0,0,250.438
140,1683122717984827,18616,1312,774857,0,0,249.377
141,1683122717988846,18617,1312,778864,0,0,248.818
142,1683122717992853,18618,1312,782871,0,0,249.563
143,1683122717996902,18619,1312,786875,0,0,246.975
144,1683122718001113,18620,1312,790882,0,0,237.473
145,1683122718005118,18621,1312,794889,0,0,249.688
146,1683122718009132,18622,1312,798894,0,0,249.128
