scorer,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1225.4107666015625,112.0194091796875,0.3697715103626251,1182.62890625,237.30068969726562,0.190044105052948,1397.3056640625,427.5127868652344,0.5209680199623108
1,1224.8758544921875,106.31056213378906,0.36853569746017456,1182.5362548828125,237.63720703125,0.17922067642211914,1397.0831298828125,427.64874267578125,0.4925989508628845
2,1218.3236083984375,105.30200958251953,0.3137684464454651,1182.373779296875,238.38619995117188,0.17907646298408508,1396.894775390625,427.8931884765625,0.5540400147438049
3,1218.376708984375,105.45203399658203,0.3374587297439575,1182.341064453125,239.07875061035156,0.21997705101966858,1396.9111328125,428.5764465332031,0.5770879983901978
4,1218.2822265625,105.98799133300781,0.3357927203178406,1182.376708984375,239.02040100097656,0.2359800636768341,1402.7027587890625,429.44903564453125,0.540482759475708
5,1224.182861328125,112.64586639404297,0.28554147481918335,1182.1949462890625,238.8465118408203,0.2413005530834198,1395.98095703125,430.22064208984375,0.5320160984992981
6,1219.5419921875,119.3652572631836,0.31234294176101685,1182.3555908203125,238.8111114501953,0.2420896291732788,1394.72802734375,434.89019775390625,0.5091159343719482
7,1218.9261474609375,119.88478088378906,0.3374329209327698,1181.700927734375,239.12779235839844,0.2287445366382599,1394.198974609375,435.3460998535156,0.5099836587905884
8,1218.6668701171875,120.65917205810547,0.3485609292984009,1181.9891357421875,238.67127990722656,0.21301639080047607,1393.8873291015625,436.4064025878906,0.3880661427974701
9,1218.5418701171875,120.70933532714844,0.33455681800842285,1181.5277099609375,239.09275817871094,0.22439539432525635,1388.21875,436.95501708984375,0.4960229992866516
10,1218.75537109375,120.74562072753906,0.34303855895996094,1181.1236572265625,239.32359313964844,0.2202601432800293,1387.609619140625,437.24072265625,0.529087245464325
11,1218.5389404296875,120.48368835449219,0.3160570561885834,1180.81005859375,244.99778747558594,0.1970994472503662,1387.3609619140625,437.55682373046875,0.5008543729782104
12,1218.964111328125,120.70857238769531,0.3382194936275482,1181.4727783203125,239.50534057617188,0.17707866430282593,1381.4141845703125,443.042724609375,0.47937119007110596
13,1218.6396484375,120.37309265136719,0.3294234871864319,1181.7359619140625,239.4937744140625,0.17207086086273193,1381.0609130859375,443.2706604003906,0.4706752896308899
14,1218.803466796875,120.3815689086914,0.35141414403915405,1181.5672607421875,238.95645141601562,0.2371225357055664,1387.2640380859375,437.25634765625,0.4738200902938843
15,1218.97607421875,120.43953704833984,0.37733346223831177,1181.4459228515625,238.76881408691406,0.2096875011920929,1387.1912841796875,437.0266418457031,0.513027548789978
16,1219.7939453125,119.27908325195312,0.38360482454299927,1181.166015625,244.53402709960938,0.25730791687965393,1387.4405517578125,437.1501159667969,0.4663615822792053
17,1220.0709228515625,119.5755844116211,0.36699262261390686,1181.9954833984375,238.61947631835938,0.25370410084724426,1387.624267578125,437.0099182128906,0.45146238803863525
18,1220.15087890625,118.67229461669922,0.3319125175476074,1182.1434326171875,237.9576873779297,0.3036230802536011,1387.63671875,436.5451965332031,0.5381892323493958
19,1224.8677978515625,106.26578521728516,0.32083839178085327,1182.1236572265625,237.9403076171875,0.2997549772262573,1388.41455078125,436.1294860839844,0.4554588198661804
20,1225.27099609375,106.54285430908203,0.41942787170410156,1182.5078125,238.05740356445312,0.3301910161972046,1388.893310546875,435.4286193847656,0.49051716923713684
21,1224.7833251953125,106.32146453857422,0.4264425039291382,1182.269287109375,237.52964782714844,0.3228522539138794,1393.7335205078125,434.9761047363281,0.5030664205551147
22,1224.80810546875,106.16658020019531,0.4583198130130768,1181.6343994140625,236.9779815673828,0.24833306670188904,1393.8929443359375,434.1197814941406,0.5492709875106812
23,1224.87158203125,105.8034896850586,0.4443240761756897,1181.9114990234375,237.7147979736328,0.15683284401893616,1395.6029052734375,429.9137268066406,0.5334587693214417
24,1225.4615478515625,105.74822998046875,0.4693821668624878,1193.8389892578125,243.3070526123047,0.17366498708724976,1396.1063232421875,429.3260498046875,0.6196641325950623
25,1225.5146484375,105.4056625366211,0.4476071894168854,1194.203857421875,243.34429931640625,0.24511563777923584,1396.332275390625,428.3679504394531,0.5988047122955322
26,1220.814697265625,104.96082305908203,0.4210070073604584,1194.499755859375,237.1606903076172,0.2656112015247345,1397.023681640625,427.6003723144531,0.5572802424430847
27,1225.6265869140625,104.73235321044922,0.39172273874282837,1194.4910888671875,236.73953247070312,0.19197070598602295,1396.98095703125,427.39013671875,0.5418370962142944
28,1220.5008544921875,104.43978881835938,0.3870689272880554,1194.2711181640625,236.737548828125,0.20589619874954224,1403.1505126953125,421.4024353027344,0.5242373943328857
29,1225.8004150390625,104.75408935546875,0.3721119463443756,1194.578369140625,236.8773651123047,0.2329273819923401,1403.2364501953125,421.4477233886719,0.5191060304641724
30,1225.6290283203125,104.75604248046875,0.3877526521682739,1194.599853515625,236.67547607421875,0.20374181866645813,1403.2528076171875,421.4643859863281,0.5299118757247925
31,1225.6971435546875,105.24752044677734,0.43185532093048096,1194.6019287109375,236.7737579345703,0.22753271460533142,1403.1944580078125,421.4012451171875,0.5177052021026611
32,1219.7646484375,105.38671112060547,0.4375157654285431,1194.791015625,236.7637481689453,0.23167163133621216,1403.095458984375,421.6902160644531,0.5138956904411316
33,1225.310546875,105.80635833740234,0.4122013747692108,1194.7738037109375,237.1003875732422,0.17462238669395447,1397.024658203125,427.5185546875,0.5367071628570557
34,1220.01708984375,105.72077178955078,0.42376118898391724,1194.45849609375,237.20655822753906,0.23524382710456848,1397.0423583984375,427.5815734863281,0.5434147119522095
35,1219.9847412109375,105.66171264648438,0.4225778579711914,1194.2193603515625,243.4584503173828,0.2646300196647644,1396.8609619140625,427.8320007324219,0.5548575520515442
