framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1680619735794535,266953,1114,727283,0,0,0.004
1,1680619735798793,266954,1114,731287,0,0,234.852
2,1680619735802813,266955,1114,735294,0,0,248.756
3,1680619735806811,266956,1114,739299,0,0,250.125
4,1680619735810877,266957,1114,743306,0,0,245.942
5,1680619735814957,266958,1114,747313,0,0,245.098
6,1680619735818872,266959,1114,751317,0,0,255.428
7,1680619735822967,266960,1114,755324,0,0,244.200
8,1680619735826876,266961,1114,759331,0,0,255.820
9,1680619735830989,266962,1114,763336,0,0,243.132
10,1680619735834651,266963,1114,767343,0,0,273.075
11,1680619735838985,266964,1114,771350,0,0,230.734
12,1680619735842884,266965,1114,775354,0,0,256.476
13,1680619735847004,266966,1114,779361,0,0,242.718
14,1680619735851016,266967,1114,783368,0,0,249.252
15,1680619735854909,266968,1114,787373,0,0,256.871
16,1680619735859030,266969,1114,791380,0,0,242.660
17,1680619735862949,266970,1114,795387,0,0,255.167
18,1680619735867037,266971,1114,799391,0,0,244.618
19,1680619735870935,266972,1114,803398,0,0,256.542
20,1680619735875032,266973,1114,807405,0,0,244.081
21,1680619735878944,266974,1114,811410,0,0,255.624
22,1680619735883046,266975,1114,815417,0,0,243.784
23,1680619735886969,266976,1114,819424,0,0,254.907
24,1680619735891086,266977,1114,823428,0,0,242.895
25,1680619735894754,266978,1114,827435,0,0,272.628
26,1680619735899043,266979,1114,831442,0,0,233.155
27,1680619735902791,266980,1114,835447,0,0,266.809
28,1680619735906681,266981,1114,839454,0,0,257.069
29,1680619735910956,266982,1114,843461,0,0,233.918
30,1680619735914741,266983,1114,847465,0,0,264.201
31,1680619735918976,266984,1114,851472,0,0,236.128
32,1680619735922995,266985,1114,855479,0,0,248.818
33,1680619735926978,266986,1114,859484,0,0,251.067
34,1680619735931011,266987,1114,863491,0,0,247.954
35,1680619735934766,266988,1114,867495,0,0,266.312
36,1680619735938980,266989,1114,871502,0,0,237.304
37,1680619735942982,266990,1114,875509,0,0,249.875
38,1680619735947023,266991,1114,879514,0,0,247.463
39,1680619735951110,266992,1114,883521,0,0,244.678
40,1680619735954806,266993,1114,887528,0,0,270.563
41,1680619735959106,266994,1114,891532,0,0,232.558
42,1680619735962807,266995,1114,895539,0,0,270.197
43,1680619735967097,266996,1114,899546,0,0,233.100
44,1680619735970806,266997,1114,903551,0,0,269.614
45,1680619735975102,266998,1114,907558,0,0,232.775
46,1680619735978808,266999,1114,911565,0,0,269.833
47,1680619735983071,267000,1114,915569,0,0,234.577
48,1680619735986808,267001,1114,919576,0,0,267.594
49,1680619735991055,267002,1114,923583,0,0,235.460
50,1680619735994820,267003,1114,927588,0,0,265.604
51,1680619735999065,267004,1114,931595,0,0,235.571
52,1680619736002838,267005,1114,935602,0,0,265.041
53,1680619736007081,267006,1114,939606,0,0,235.682
54,1680619736010831,267007,1114,943613,0,0,266.667
55,1680619736015122,267008,1114,947620,0,0,233.046
56,1680619736018849,267009,1114,951625,0,0,268.312
57,1680619736023111,267010,1114,955632,0,0,234.632
58,1680619736026895,267011,1114,959639,0,0,264.271
59,1680619736030914,267012,1114,963643,0,0,248.818
60,1680619736035139,267013,1114,967650,0,0,236.686
61,1680619736038911,267014,1114,971657,0,0,265.111
62,1680619736042899,267015,1114,975662,0,0,250.752
63,1680619736047178,267016,1114,979669,0,0,233.699
64,1680619736050917,267017,1114,983673,0,0,267.451
65,1680619736054993,267018,1114,987680,0,0,245.339
66,1680619736058909,267019,1114,991687,0,0,255.363
67,1680619736062914,267020,1114,995692,0,0,249.688
68,1680619736066979,267021,1114,999699,0,0,246.002
69,1680619736070926,267022,1115,3706,0,0,253.357
70,1680619736074979,267023,1115,7710,0,0,246.731
71,1680619736078942,267024,1115,11717,0,0,252.334
72,1680619736082956,267025,1115,15724,0,0,249.128
73,1680619736087041,267026,1115,19729,0,0,244.798
74,1680619736091068,267027,1115,23736,0,0,248.324
75,1680619736094987,267028,1115,27743,0,0,255.167
76,1680619736099074,267029,1115,31747,0,0,244.678
77,1680619736103093,267030,1115,35754,0,0,248.818
78,1680619736107238,267031,1115,39761,0,0,241.255
79,1680619736111025,267032,1115,43766,0,0,264.061
80,1680619736115035,267033,1115,47773,0,0,249.377
81,1680619736119018,267034,1115,51780,0,0,251.067
82,1680619736123022,267035,1115,55784,0,0,249.750
83,1680619736127182,267036,1115,59791,0,0,240.385
84,1680619736131296,267037,1115,63798,0,0,243.072
85,1680619736135130,267038,1115,67803,0,0,260.824
86,1680619736139139,267039,1115,71810,0,0,249.439
87,1680619736143189,267040,1115,75817,0,0,246.914
88,1680619736147321,267041,1115,79821,0,0,242.014
89,1680619736151372,267042,1115,83828,0,0,246.853
90,1680619736155114,267043,1115,87835,0,0,267.237
91,1680619736159507,267044,1115,91840,0,0,227.635
92,1680619736163122,267045,1115,95847,0,0,276.625
93,1680619736167413,267046,1115,99851,0,0,233.046
94,1680619736171417,267047,1115,103858,0,0,249.750
95,1680619736175417,267048,1115,107865,0,0,250.000
96,1680619736179173,267049,1115,111870,0,0,266.241
97,1680619736183375,267050,1115,115877,0,0,237.982
98,1680619736187451,267051,1115,119884,0,0,245.339
99,1680619736191540,267052,1115,123888,0,0,244.559
100,1680619736195557,267053,1115,127895,0,0,248.942
101,1680619736199559,267054,1115,131902,0,0,249.875
102,1680619736203567,267055,1115,135907,0,0,249.501
