scorer,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,857.903564453125,357.4029541015625,0.9311506748199463,811.661376953125,497.11407470703125,0.8357928991317749,891.4161987304688,646.5504760742188,0.8619635701179504
1,857.4695434570312,357.35498046875,0.9262113571166992,810.9346923828125,497.6697998046875,0.8368337154388428,891.5514526367188,647.0722045898438,0.8595914840698242
2,856.671630859375,358.1572570800781,0.9088518619537354,810.0994262695312,498.03076171875,0.832748532295227,891.6749877929688,647.3912963867188,0.8618571758270264
3,856.6611938476562,358.6478576660156,0.9052004814147949,809.3117065429688,498.4947814941406,0.8700152635574341,891.7288818359375,648.704345703125,0.8415242433547974
4,856.6907348632812,358.7275390625,0.895982563495636,808.9688720703125,498.9276428222656,0.8721248507499695,891.6372680664062,649.5115356445312,0.8327455520629883
5,856.7194213867188,360.40313720703125,0.8929658532142639,808.96240234375,499.3753967285156,0.8693766593933105,895.3014526367188,651.3364868164062,0.8321969509124756
6,856.4264526367188,360.76806640625,0.8879579305648804,808.8523559570312,499.60040283203125,0.8801831007003784,895.2738647460938,651.0402221679688,0.8280797600746155
7,856.3982543945312,358.576416015625,0.8960839509963989,808.9945678710938,499.8973693847656,0.8736070394515991,895.6260375976562,651.1744995117188,0.8380074501037598
8,856.7687377929688,360.41021728515625,0.8994427919387817,809.2764892578125,500.5087890625,0.870688796043396,897.4213256835938,651.9859619140625,0.8416285514831543
9,857.0150146484375,360.39520263671875,0.9020966291427612,809.5899658203125,500.815185546875,0.8677636384963989,897.48486328125,651.76416015625,0.839192807674408
10,857.4527587890625,360.6354064941406,0.9131532907485962,810.1339721679688,500.90264892578125,0.871712327003479,897.5546264648438,651.5009155273438,0.8376654386520386
11,857.6239624023438,360.7134704589844,0.9137125611305237,810.2366943359375,500.7764892578125,0.8713149428367615,898.5145263671875,651.9434814453125,0.840864896774292
12,857.74462890625,358.7540588378906,0.9115086793899536,810.3646850585938,501.1204528808594,0.8716690540313721,899.5421752929688,651.3544921875,0.8471042513847351
13,857.5120849609375,358.35577392578125,0.9135366678237915,810.1115112304688,500.6201477050781,0.8723165988922119,900.0594482421875,651.49072265625,0.841189444065094
14,857.6546020507812,357.98797607421875,0.9240083694458008,809.8009033203125,500.3948669433594,0.8701644539833069,901.2772216796875,650.92041015625,0.8146020174026489
15,857.7433471679688,357.6654052734375,0.9268791079521179,809.6380004882812,499.94757080078125,0.866834819316864,901.441162109375,648.0733642578125,0.7874858379364014
16,857.9982299804688,357.17095947265625,0.9339802265167236,809.3375244140625,499.4827575683594,0.863243043422699,904.3810424804688,648.6464233398438,0.8075088262557983
17,858.1788330078125,356.68194580078125,0.9351989030838013,809.5265502929688,498.39837646484375,0.8418359756469727,904.1768188476562,648.4956665039062,0.8234690427780151
18,858.1104125976562,356.4029235839844,0.9412842988967896,809.6986694335938,497.5870361328125,0.8227410316467285,905.069580078125,648.1475219726562,0.8356305956840515
19,858.6280517578125,356.0799865722656,0.9402468204498291,809.55126953125,497.2039794921875,0.8153979778289795,904.9400634765625,647.8107299804688,0.8377701044082642
20,859.1504516601562,355.86895751953125,0.9406818151473999,809.8941650390625,496.6021423339844,0.8174199461936951,905.6511840820312,647.8734741210938,0.838383674621582
21,859.3961181640625,355.360107421875,0.9440413117408752,809.94775390625,493.0863952636719,0.8227336406707764,904.2817993164062,647.605712890625,0.8265330791473389
22,859.7214965820312,355.34100341796875,0.9500819444656372,810.1178588867188,492.710205078125,0.8393048048019409,904.0455932617188,647.4917602539062,0.8212847709655762
23,859.873779296875,355.5903625488281,0.952102541923523,810.9408569335938,492.2779235839844,0.8437741994857788,903.7387084960938,647.4453125,0.806768536567688
24,860.071533203125,355.2536926269531,0.9501289129257202,811.539794921875,491.9044494628906,0.847876787185669,900.6099243164062,646.5193481445312,0.8221738338470459
25,860.4776000976562,355.1231689453125,0.9535651803016663,811.6705932617188,491.8399353027344,0.8441735506057739,900.0042114257812,646.894775390625,0.8268108367919922
26,860.3324584960938,355.5073547363281,0.9520180225372314,812.2855834960938,491.3968200683594,0.8512304425239563,899.5391845703125,647.0595092773438,0.8205100297927856
27,860.2002563476562,355.77349853515625,0.9546253681182861,812.3436889648438,491.5531311035156,0.8510838150978088,899.3037109375,646.7638549804688,0.814497709274292
28,859.74853515625,356.2818603515625,0.9508370757102966,812.4157104492188,491.64495849609375,0.8530014753341675,899.1455078125,646.4732666015625,0.8237758874893188
29,859.447265625,356.480712890625,0.9470711946487427,814.4472045898438,492.1068115234375,0.8500522971153259,898.3362426757812,646.0333862304688,0.8326519727706909
30,859.1111450195312,356.3796691894531,0.9453482627868652,812.14794921875,492.6032409667969,0.8510816693305969,899.1126098632812,645.7857666015625,0.8432900905609131
31,859.0181274414062,356.42608642578125,0.9435729384422302,814.74560546875,492.94000244140625,0.8493781089782715,899.2333984375,645.5836791992188,0.84430992603302
32,859.4055786132812,356.9791564941406,0.9407192468643188,815.0670166015625,493.3459167480469,0.8502675294876099,899.4431762695312,645.229736328125,0.8474894762039185
33,859.064208984375,357.23883056640625,0.9429656863212585,815.2797241210938,494.2058410644531,0.8442862033843994,900.1983032226562,644.9639282226562,0.8420336842536926
34,860.0787353515625,357.8625183105469,0.9344820976257324,816.3951416015625,494.4967956542969,0.8488925695419312,900.8013916015625,644.642822265625,0.8330011367797852
35,860.1787109375,358.5690002441406,0.9306411147117615,816.463134765625,496.79925537109375,0.8586997985839844,901.347900390625,644.423828125,0.832553505897522
36,860.611572265625,360.691650390625,0.927253246307373,816.884765625,496.8962707519531,0.8760886192321777,904.1602172851562,645.2869873046875,0.8314110636711121
