framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1680620296782407,406986,1675,718696,0,0,0.011
1,1680620296786312,406987,1675,722703,0,0,256.082
2,1680620296790302,406988,1675,726710,0,0,250.627
3,1680620296794101,406989,1675,730715,0,0,263.227
4,1680620296798305,406990,1675,734722,0,0,237.869
5,1680620296802095,406991,1675,738729,0,0,263.852
6,1680620296806420,406992,1675,742733,0,0,231.214
7,1680620296810123,406993,1675,746740,0,0,270.051
8,1680620296814441,406994,1675,750747,0,0,231.589
9,1680620296818162,406995,1675,754752,0,0,268.745
10,1680620296822454,406996,1675,758759,0,0,232.992
11,1680620296826147,406997,1675,762766,0,0,270.783
12,1680620296830463,406998,1675,766770,0,0,231.696
13,1680620296834148,406999,1675,770777,0,0,271.370
14,1680620296838496,407000,1675,774784,0,0,229.991
15,1680620296842175,407001,1675,778789,0,0,271.813
16,1680620296846498,407002,1675,782796,0,0,231.321
17,1680620296850167,407003,1675,786800,0,0,272.554
18,1680620296854438,407004,1675,790807,0,0,234.137
19,1680620296858397,407005,1675,794814,0,0,252.589
20,1680620296862536,407006,1675,798819,0,0,241.604
21,1680620296866206,407007,1675,802826,0,0,272.480
22,1680620296870578,407008,1675,806833,0,0,228.728
23,1680620296874205,407009,1675,810837,0,0,275.710
24,1680620296878563,407010,1675,814844,0,0,229.463
25,1680620296882218,407011,1675,818851,0,0,273.598
26,1680620296886560,407012,1675,822856,0,0,230.309
27,1680620296890242,407013,1675,826863,0,0,271.592
28,1680620296894591,407014,1675,830870,0,0,229.938
29,1680620296898252,407015,1675,834874,0,0,273.149
30,1680620296902587,407016,1675,838881,0,0,230.681
31,1680620296906256,407017,1675,842888,0,0,272.554
32,1680620296910611,407018,1675,846893,0,0,229.621
33,1680620296914268,407019,1675,850900,0,0,273.448
34,1680620296918612,407020,1675,854907,0,0,230.203
35,1680620296922289,407021,1675,858911,0,0,271.961
36,1680620296926300,407022,1675,862918,0,0,249.314
37,1680620296930292,407023,1675,866925,0,0,250.501
38,1680620296934291,407024,1675,870930,0,0,250.063
39,1680620296938262,407025,1675,874937,0,0,251.826
40,1680620296942303,407026,1675,878944,0,0,247.463
41,1680620296946263,407027,1675,882948,0,0,252.525
42,1680620296950571,407028,1675,886955,0,0,232.126
43,1680620296954313,407029,1675,890962,0,0,267.237
44,1680620296958673,407030,1675,894967,0,0,229.358
45,1680620296963054,407031,1675,898974,0,0,228.258
46,1680620296966685,407032,1675,902978,0,0,275.406
47,1680620296970691,407033,1675,906985,0,0,249.626
48,1680620296974370,407034,1675,910992,0,0,271.813
49,1680620296978375,407035,1675,914997,0,0,249.688
50,1680620296982399,407036,1675,919004,0,0,248.509
51,1680620296986383,407037,1675,923011,0,0,251.004
