framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1680620929002686,564800,2307,943816,0,0,0.010
1,1680620929006647,564801,2307,947823,0,0,252.461
2,1680620929010678,564802,2307,951830,0,0,248.077
3,1680620929014430,564803,2307,955834,0,0,266.525
4,1680620929018456,564804,2307,959841,0,0,248.385
5,1680620929022456,564805,2307,963848,0,0,250.000
6,1680620929026435,564806,2307,967853,0,0,251.319
7,1680620929030446,564807,2307,971860,0,0,249.314
8,1680620929034465,564808,2307,975867,0,0,248.818
9,1680620929038479,564809,2307,979871,0,0,249.128
10,1680620929042465,564810,2307,983878,0,0,250.878
11,1680620929046457,564811,2307,987885,0,0,250.501
12,1680620929050463,564812,2307,991890,0,0,249.626
13,1680620929054557,564813,2307,995897,0,0,244.260
14,1680620929058522,564814,2307,999904,0,0,252.207
15,1680620929062776,564815,2308,3908,0,0,235.073
16,1680620929066566,564816,2308,7915,0,0,263.852
17,1680620929070803,564817,2308,11922,0,0,236.016
18,1680620929074786,564818,2308,15927,0,0,251.067
19,1680620929078808,564819,2308,19934,0,0,248.633
20,1680620929082826,564820,2308,23941,0,0,248.880
21,1680620929086845,564821,2308,27945,0,0,248.818
22,1680620929090819,564822,2308,31952,0,0,251.636
23,1680620929094819,564823,2308,35956,0,0,250.000
24,1680620929098821,564824,2308,39964,0,0,249.875
25,1680620929103319,564825,2308,43971,0,0,222.321
26,1680620929106583,564826,2308,47975,0,0,306.373
27,1680620929110851,564827,2308,51982,0,0,234.302
28,1680620929114628,564828,2308,55989,0,0,264.760
29,1680620929118862,564829,2308,59993,0,0,236.183
30,1680620929122668,564830,2308,64001,0,0,262.743
31,1680620929126882,564831,2308,68008,0,0,237.304
32,1680620929130890,564832,2308,72012,0,0,249.501
33,1680620929134714,564833,2308,76019,0,0,261.506
34,1680620929138732,564834,2308,80026,0,0,248.880
35,1680620929142936,564835,2308,84030,0,0,237.869
36,1680620929146680,564836,2308,88038,0,0,267.094
37,1680620929150682,564837,2308,92045,0,0,249.875
38,1680620929154945,564838,2308,96049,0,0,234.577
39,1680620929159169,564839,2308,100056,0,0,236.742
40,1680620929162715,564840,2308,104063,0,0,282.008
41,1680620929166717,564841,2308,108067,0,0,249.875
42,1680620929170740,564842,2308,112075,0,0,248.571
43,1680620929174981,564843,2308,116082,0,0,235.793
44,1680620929178988,564844,2308,120086,0,0,249.563
45,1680620929182996,564845,2308,124093,0,0,249.501
46,1680620929186979,564846,2308,128100,0,0,251.067
47,1680620929190988,564847,2308,132104,0,0,249.439
48,1680620929194995,564848,2308,136112,0,0,249.563
49,1680620929199088,564849,2308,140119,0,0,244.320
50,1680620929203096,564850,2308,144123,0,0,249.501
51,1680620929206789,564851,2308,148130,0,0,270.783
52,1680620929211120,564852,2308,152137,0,0,230.894
53,1680620929215013,564853,2308,156141,0,0,256.871
54,1680620929219141,564854,2308,160149,0,0,242.248
55,1680620929223152,564855,2308,164156,0,0,249.314
56,1680620929227126,564856,2308,168160,0,0,251.636
57,1680620929231132,564857,2308,172167,0,0,249.626
58,1680620929235121,564858,2308,176174,0,0,250.689
59,1680620929239117,564859,2308,180178,0,0,250.250
60,1680620929243111,564860,2308,184186,0,0,250.376
61,1680620929247110,564861,2308,188193,0,0,250.063
62,1680620929251124,564862,2308,192197,0,0,249.128
63,1680620929255110,564863,2308,196204,0,0,250.878
64,1680620929259111,564864,2308,200211,0,0,249.938
65,1680620929263110,564865,2308,204215,0,0,250.063
66,1680620929267080,564866,2308,208223,0,0,251.889
67,1680620929271144,564867,2308,212230,0,0,246.063
68,1680620929275133,564868,2308,216234,0,0,250.689
69,1680620929279120,564869,2308,220241,0,0,250.815
70,1680620929283126,564870,2308,224248,0,0,249.626
71,1680620929287141,564871,2308,228252,0,0,249.066
72,1680620929291133,564872,2308,232260,0,0,250.501
73,1680620929295151,564873,2308,236267,0,0,248.880
74,1680620929299143,564874,2308,240271,0,0,250.501
75,1680620929303151,564875,2308,244278,0,0,249.501
76,1680620929306920,564876,2308,248282,0,0,265.322
77,1680620929311155,564877,2308,252289,0,0,236.128
78,1680620929315166,564878,2308,256297,0,0,249.314
79,1680620929319199,564879,2308,260301,0,0,247.954
80,1680620929322929,564880,2308,264308,0,0,268.097
81,1680620929327203,564881,2308,268315,0,0,233.973
82,1680620929331182,564882,2308,272319,0,0,251.319
83,1680620929335313,564883,2308,276326,0,0,242.072
84,1680620929339195,564884,2308,280334,0,0,257.599
85,1680620929343216,564885,2308,284338,0,0,248.694
86,1680620929347281,564886,2308,288345,0,0,246.002
87,1680620929351226,564887,2308,292352,0,0,253.485
88,1680620929355309,564888,2308,296356,0,0,244.918
89,1680620929359300,564889,2308,300363,0,0,250.564
90,1680620929363242,564890,2308,304371,0,0,253.678
91,1680620929367320,564891,2308,308375,0,0,245.218
92,1680620929371322,564892,2308,312382,0,0,249.875
93,1680620929375319,564893,2308,316389,0,0,250.188
94,1680620929379344,564894,2308,320393,0,0,248.447
95,1680620929383341,564895,2308,324400,0,0,250.188
96,1680620929387349,564896,2308,328408,0,0,249.501
97,1680620929391357,564897,2308,332412,0,0,249.501
98,1680620929395356,564898,2308,336419,0,0,250.063
99,1680620929399363,564899,2308,340426,0,0,249.563
100,1680620929403379,564900,2308,344430,0,0,249.004
101,1680620929407053,564901,2308,348437,0,0,272.183
102,1680620929411375,564902,2308,352445,0,0,231.374
103,1680620929415247,564903,2308,356449,0,0,258.264
104,1680620929419441,564904,2308,360456,0,0,238.436
105,1680620929423439,564905,2308,364463,0,0,250.125
106,1680620929427440,564906,2308,368467,0,0,249.938
107,1680620929431429,564907,2308,372474,0,0,250.689
108,1680620929435430,564908,2308,376482,0,0,249.938
109,1680620929439449,564909,2308,380486,0,0,248.818
110,1680620929443454,564910,2308,384493,0,0,249.688
111,1680620929447478,564911,2308,388500,0,0,248.509
112,1680620929451468,564912,2308,392504,0,0,250.627
113,1680620929455465,564913,2308,396511,0,0,250.188
114,1680620929459491,564914,2308,400519,0,0,248.385
115,1680620929463382,564915,2308,404523,0,0,257.003
116,1680620929467502,564916,2308,408530,0,0,242.718
117,1680620929471504,564917,2308,412537,0,0,249.875
118,1680620929475523,564918,2308,416541,0,0,248.818
119,1680620929479509,564919,2308,420548,0,0,250.878
120,1680620929483530,564920,2308,424556,0,0,248.694
121,1680620929487521,564921,2308,428560,0,0,250.564
122,1680620929491548,564922,2308,432567,0,0,248.324
123,1680620929495550,564923,2308,436574,0,0,249.875
124,1680620929499545,564924,2308,440578,0,0,250.313
125,1680620929503567,564925,2308,444585,0,0,248.633
126,1680620929507210,564926,2308,448593,0,0,274.499
127,1680620929511562,564927,2308,452597,0,0,229.779
128,1680620929515478,564928,2308,456604,0,0,255.363
129,1680620929519603,564929,2308,460611,0,0,242.424
130,1680620929523495,564930,2308,464615,0,0,256.937
131,1680620929527570,564931,2308,468622,0,0,245.399
132,1680620929531572,564932,2308,472627,0,0,249.875
133,1680620929535588,564933,2308,476634,0,0,249.004
134,1680620929539607,564934,2308,480641,0,0,248.818
135,1680620929543604,564935,2308,484645,0,0,250.188
136,1680620929547603,564936,2308,488652,0,0,250.063
137,1680620929551607,564937,2308,492659,0,0,249.750
138,1680620929555606,564938,2308,496664,0,0,250.063
139,1680620929559630,564939,2308,500671,0,0,248.509
140,1680620929563559,564940,2308,504678,0,0,254.518
141,1680620929567577,564941,2308,508682,0,0,248.880
142,1680620929571636,564942,2308,512689,0,0,246.366
143,1680620929575661,564943,2308,516696,0,0,248.447
144,1680620929579647,564944,2308,520701,0,0,250.878
145,1680620929583668,564945,2308,524708,0,0,248.694
146,1680620929587661,564946,2308,528715,0,0,250.438
147,1680620929591667,564947,2308,532719,0,0,249.626
148,1680620929595677,564948,2308,536726,0,0,249.377
149,1680620929599686,564949,2308,540733,0,0,249.439
150,1680620929604030,564950,2308,544738,0,0,230.203
151,1680620929607335,564951,2308,548745,0,0,302.572
152,1680620929611705,564952,2308,552752,0,0,228.833
153,1680620929615722,564953,2308,556756,0,0,248.942
154,1680620929619752,564954,2308,560763,0,0,248.139
155,1680620929623752,564955,2308,564770,0,0,250.000
156,1680620929627740,564956,2308,568775,0,0,250.752
157,1680620929631776,564957,2308,572782,0,0,247.770
158,1680620929635701,564958,2308,576789,0,0,254.777
159,1680620929639762,564959,2308,580793,0,0,246.245
160,1680620929643791,564960,2308,584800,0,0,248.201
161,1680620929647767,564961,2308,588807,0,0,251.509
162,1680620929651778,564962,2308,592812,0,0,249.314
163,1680620929655783,564963,2308,596819,0,0,249.688
164,1680620929659794,564964,2308,600826,0,0,249.314
165,1680620929663460,564965,2308,604830,0,0,272.777
166,1680620929667812,564966,2308,608837,0,0,229.779
167,1680620929671801,564967,2308,612844,0,0,250.689
168,1680620929675820,564968,2308,616849,0,0,248.818
169,1680620929679823,564969,2308,620856,0,0,249.813
170,1680620929683830,564970,2308,624863,0,0,249.563
171,1680620929687816,564971,2308,628867,0,0,250.878
172,1680620929691837,564972,2308,632874,0,0,248.694
173,1680620929695840,564973,2308,636881,0,0,249.813
174,1680620929699841,564974,2308,640886,0,0,249.938
175,1680620929703869,564975,2308,644893,0,0,248.262
176,1680620929707532,564976,2308,648900,0,0,273.000
177,1680620929711877,564977,2308,652904,0,0,230.150
178,1680620929715874,564978,2308,656911,0,0,250.188
179,1680620929719881,564979,2308,660918,0,0,249.563
180,1680620929723889,564980,2308,664923,0,0,249.501
181,1680620929727914,564981,2308,668930,0,0,248.447
182,1680620929731921,564982,2308,672937,0,0,249.563
183,1680620929735829,564983,2308,676941,0,0,255.885
184,1680620929739923,564984,2308,680948,0,0,244.260
185,1680620929743908,564985,2308,684953,0,0,250.941
186,1680620929747942,564986,2308,688960,0,0,247.893
187,1680620929751911,564987,2308,692967,0,0,251.953
188,1680620929755927,564988,2308,696971,0,0,249.004
