scorer,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1302.5545654296875,424.8470764160156,0.8921654224395752,1266.8321533203125,569.17041015625,0.8045388460159302,1350.3701171875,627.8661499023438,0.8243712186813354
1,1299.843505859375,424.3083801269531,0.8599968552589417,1260.2158203125,568.5886840820312,0.8242536187171936,1349.351318359375,627.9510498046875,0.8068926930427551
2,1300.2728271484375,424.5189514160156,0.9042959213256836,1260.593994140625,568.8079223632812,0.8565795421600342,1348.47412109375,627.896728515625,0.8505246639251709
3,1299.5323486328125,425.8211669921875,0.9036515355110168,1260.053466796875,570.669677734375,0.8573720455169678,1348.3359375,626.8880615234375,0.820389986038208
4,1297.4503173828125,430.5841979980469,0.9315212965011597,1258.283203125,572.4656982421875,0.8721933364868164,1343.49169921875,625.9925537109375,0.8440199494361877
5,1296.20458984375,430.9573059082031,0.9456619620323181,1257.3765869140625,574.0577392578125,0.8646891117095947,1341.9442138671875,628.5109252929688,0.845421314239502
6,1292.0838623046875,432.8692626953125,0.9140329360961914,1255.2918701171875,578.105224609375,0.8762369155883789,1338.46240234375,630.57568359375,0.8040720224380493
7,1291.157470703125,433.7023620605469,0.9253830909729004,1254.252685546875,579.0853881835938,0.9114658236503601,1334.01953125,632.6644897460938,0.7672110795974731
8,1289.8050537109375,436.8645935058594,0.9428002238273621,1250.662353515625,580.5416259765625,0.8611137866973877,1331.1502685546875,633.7811889648438,0.8076021075248718
9,1289.0806884765625,437.4343566894531,0.9247908592224121,1245.508544921875,586.1743774414062,0.8832093477249146,1325.8837890625,636.9384765625,0.8073770999908447
10,1288.3831787109375,442.5450439453125,0.9225097894668579,1244.468505859375,587.8723754882812,0.9104114174842834,1324.717041015625,636.6517944335938,0.799891471862793
11,1287.3328857421875,443.0001220703125,0.9375817179679871,1244.326416015625,588.492431640625,0.9278560876846313,1324.131591796875,637.7303466796875,0.7939730882644653
12,1288.3775634765625,444.8641662597656,0.9258979558944702,1242.9447021484375,588.7973022460938,0.9096918106079102,1329.2291259765625,637.7476806640625,0.8654354810714722
13,1288.939208984375,446.4123229980469,0.8726572394371033,1241.7301025390625,588.674560546875,0.9029613137245178,1322.5654296875,638.5394287109375,0.8319525718688965
14,1289.1353759765625,448.4940185546875,0.8993135690689087,1241.7127685546875,588.3665161132812,0.9004468321800232,1322.5255126953125,638.3028564453125,0.8336212635040283
15,1289.180419921875,446.3688659667969,0.9053119421005249,1241.8692626953125,588.161865234375,0.9177365303039551,1322.6051025390625,638.481201171875,0.8357290625572205
16,1289.5201416015625,439.59100341796875,0.9242453575134277,1242.341552734375,587.5413818359375,0.9105077981948853,1322.4178466796875,637.9119873046875,0.8379495143890381
17,1289.67578125,439.5419921875,0.9160902500152588,1243.1971435546875,587.7958374023438,0.921563982963562,1319.9984130859375,639.4410400390625,0.8121973276138306
18,1291.18212890625,440.5604248046875,0.9086333513259888,1244.328125,587.0758056640625,0.9176446199417114,1321.9407958984375,636.6882934570312,0.8181312084197998
19,1292.1009521484375,440.12158203125,0.9133346080780029,1244.665283203125,585.7720947265625,0.9188377857208252,1321.6212158203125,637.0780029296875,0.8264398574829102
20,1290.5595703125,437.64361572265625,0.9317752122879028,1244.79638671875,584.3443603515625,0.8810878992080688,1321.7379150390625,636.0233764648438,0.8218505382537842
21,1290.3824462890625,435.54132080078125,0.9403389692306519,1244.74755859375,580.7659301757812,0.8569802045822144,1321.0447998046875,635.164306640625,0.8136618733406067
22,1289.321044921875,432.9717102050781,0.9275066256523132,1244.496337890625,579.66259765625,0.8703114986419678,1316.8389892578125,634.9581298828125,0.8162040710449219
23,1289.82666015625,433.2236633300781,0.9317606091499329,1244.6839599609375,578.9143676757812,0.8483774065971375,1318.2952880859375,633.3958740234375,0.8010554313659668
24,1290.587890625,432.2521057128906,0.9329317808151245,1244.643798828125,579.817138671875,0.8716515302658081,1318.205810546875,633.4699096679688,0.7843017578125
25,1290.4342041015625,432.64520263671875,0.9241807460784912,1244.0784912109375,579.3677368164062,0.8776533603668213,1316.8692626953125,636.5216674804688,0.8361529111862183
26,1290.0848388671875,433.7889099121094,0.9338234663009644,1243.481201171875,579.5570678710938,0.8524437546730042,1315.7581787109375,635.5618896484375,0.8408535122871399
27,1289.4918212890625,434.1083679199219,0.9351862668991089,1242.208740234375,580.82421875,0.8223439455032349,1314.555419921875,638.7517700195312,0.8360153436660767
28,1288.36669921875,435.8173828125,0.9313609600067139,1241.4722900390625,580.9037475585938,0.8284472227096558,1310.1180419921875,637.5297241210938,0.8058096170425415
29,1288.3837890625,439.33343505859375,0.9204248189926147,1238.941650390625,585.2117919921875,0.8431237936019897,1307.5391845703125,640.8513793945312,0.8739098310470581
30,1288.1954345703125,443.2260437011719,0.9078214764595032,1237.201171875,588.7145385742188,0.9027080535888672,1305.159423828125,643.6065673828125,0.8839327096939087
31,1288.7977294921875,445.3555908203125,0.9187921285629272,1235.349365234375,589.8145751953125,0.8767638206481934,1303.029541015625,644.0580444335938,0.8420376777648926
32,1288.4716796875,445.24664306640625,0.9051090478897095,1233.945556640625,592.7890014648438,0.8935012817382812,1295.095947265625,644.8684692382812,0.8488100171089172
33,1285.8143310546875,448.8694152832031,0.9408653974533081,1229.226806640625,595.169677734375,0.8781524896621704,1291.06884765625,645.0789794921875,0.8718723654747009
34,1285.0147705078125,451.330078125,0.9474766254425049,1227.472900390625,597.3582763671875,0.8566524982452393,1287.127685546875,649.5542602539062,0.8982989192008972
