scorer,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,876.4403076171875,287.8570251464844,0.4547261595726013,906.948974609375,531.7240600585938,0.5315239429473877,1116.1761474609375,650.7408447265625,0.4200572967529297
1,876.4835205078125,288.26507568359375,0.40399473905563354,907.1875,531.830078125,0.5180260539054871,1116.1473388671875,651.1983642578125,0.42211678624153137
2,876.2567138671875,288.0504455566406,0.4351654350757599,907.0485229492188,532.088134765625,0.49593913555145264,1116.3941650390625,650.8832397460938,0.42281222343444824
3,876.431396484375,287.90899658203125,0.42854446172714233,906.7506103515625,531.9696655273438,0.5219248533248901,1115.9171142578125,651.60302734375,0.41440871357917786
4,876.5421752929688,288.27545166015625,0.3842884600162506,906.7954711914062,532.283935546875,0.5190078616142273,1116.8011474609375,658.26025390625,0.4353853166103363
5,877.165283203125,299.7543640136719,0.33136090636253357,906.806884765625,531.7056274414062,0.5242862701416016,1115.85693359375,658.4203491210938,0.4582085907459259
6,876.3101196289062,288.2901916503906,0.3219171166419983,906.3367919921875,532.3974609375,0.5004997253417969,1115.0863037109375,651.8717041015625,0.44491350650787354
7,877.0247192382812,299.80792236328125,0.36271893978118896,906.5324096679688,532.3594360351562,0.5445153713226318,1116.1790771484375,658.53125,0.46224361658096313
8,876.7806396484375,299.9659423828125,0.3854767978191376,905.523193359375,532.76220703125,0.45317932963371277,1115.7244873046875,658.681396484375,0.46063554286956787
9,876.8798828125,299.8862609863281,0.3946931064128876,905.871826171875,532.8667602539062,0.47094354033470154,1115.4134521484375,658.7452392578125,0.48003846406936646
10,876.954833984375,299.4042663574219,0.42847633361816406,905.8003540039062,532.098876953125,0.4763863980770111,1115.2371826171875,658.582275390625,0.47287672758102417
11,877.116455078125,299.8564147949219,0.394850492477417,906.2036743164062,532.5068359375,0.5033968091011047,1114.3402099609375,650.5427856445312,0.4860674738883972
12,876.3861694335938,287.2646179199219,0.46189621090888977,906.1363525390625,532.5953369140625,0.5236518383026123,1115.3643798828125,658.2432861328125,0.48173007369041443
13,876.7943115234375,287.3147277832031,0.4336859881877899,906.8692016601562,531.3285522460938,0.5663328170776367,1114.8709716796875,650.442626953125,0.496675580739975
14,876.8404541015625,286.2847595214844,0.4637882113456726,907.3267211914062,531.285400390625,0.5284966230392456,1115.4500732421875,649.1539916992188,0.4434639811515808
15,877.0037841796875,285.6371765136719,0.4534030258655548,907.469482421875,530.190185546875,0.4569404423236847,1121.33203125,648.2656860351562,0.4421803653240204
16,876.9813842773438,283.98553466796875,0.5164746642112732,906.962890625,530.2002563476562,0.4049663245677948,1116.20703125,643.7930908203125,0.4876275360584259
17,876.497314453125,283.6064758300781,0.5095525979995728,906.1400146484375,530.5768432617188,0.39806047081947327,1121.95654296875,637.6094360351562,0.41730234026908875
18,876.6239624023438,283.5353088378906,0.48531198501586914,913.692138671875,523.0463256835938,0.3620549142360687,1122.0335693359375,636.4581298828125,0.4572708308696747
19,876.6660766601562,283.6037902832031,0.48413917422294617,901.3927612304688,522.8135986328125,0.380165159702301,1122.5919189453125,633.6712036132812,0.42750486731529236
20,876.77294921875,283.1112365722656,0.48341336846351624,914.1260375976562,522.4037475585938,0.3452061414718628,1116.6158447265625,628.1564331054688,0.43185940384864807
21,877.1729736328125,283.15765380859375,0.5081454515457153,908.3505249023438,516.6843872070312,0.3869045376777649,1122.84130859375,619.4529418945312,0.42909419536590576
22,877.0399780273438,283.4251403808594,0.5003506541252136,908.320068359375,528.7259521484375,0.38346242904663086,1123.256103515625,617.4130249023438,0.4262319505214691
23,877.0895385742188,282.9568176269531,0.488396018743515,908.6542358398438,529.3746948242188,0.4140855669975281,1131.715087890625,612.2407836914062,0.44736146926879883
24,876.9172973632812,283.18975830078125,0.49242502450942993,914.9668579101562,529.125244140625,0.40506473183631897,1131.762939453125,609.7009887695312,0.43764421343803406
25,877.046142578125,284.1497802734375,0.46959009766578674,915.2763061523438,529.5263061523438,0.413379430770874,1125.50048828125,602.1683959960938,0.33307239413261414
26,877.6641235351562,284.0852355957031,0.431352823972702,910.4736938476562,525.45556640625,0.4119982123374939,1139.81005859375,600.4762573242188,0.37855052947998047
27,877.1461791992188,284.3356628417969,0.44304367899894714,923.092041015625,531.3834228515625,0.37974226474761963,1149.663330078125,595.5634155273438,0.41356122493743896
28,877.0062866210938,285.1000061035156,0.43158623576164246,925.1422729492188,532.8541259765625,0.3937169313430786,1172.31640625,587.6243286132812,0.3554980158805847
29,876.75537109375,285.9698181152344,0.4098387360572815,938.5140380859375,532.6973876953125,0.4240069091320038,1173.304931640625,585.8703002929688,0.3684670627117157
30,876.9635009765625,286.4446105957031,0.36066311597824097,941.0880737304688,544.9633178710938,0.4111107587814331,1187.3084716796875,584.5725708007812,0.40200990438461304
31,877.2439575195312,285.76116943359375,0.3165578544139862,954.0082397460938,531.8052978515625,0.3923060894012451,1197.5665283203125,578.807373046875,0.3829438090324402
32,894.8529663085938,299.9686584472656,0.2541550397872925,956.0223999023438,532.5283203125,0.40027645230293274,1220.3118896484375,569.2847900390625,0.3178591728210449
33,914.8583984375,301.8116149902344,0.24457308650016785,971.4281005859375,531.4931640625,0.44487202167510986,1242.24658203125,564.0126953125,0.3887230455875397
34,920.488525390625,302.666015625,0.32459619641304016,978.2376098632812,530.58837890625,0.39316391944885254,1258.37158203125,562.1395263671875,0.4354521632194519
35,916.2695922851562,301.5675964355469,0.48174741864204407,986.7217407226562,530.1602783203125,0.40640756487846375,1273.2020263671875,548.2420043945312,0.3777367174625397
36,921.8977661132812,303.78326416015625,0.5882925391197205,988.63525390625,529.9664916992188,0.4121926426887512,1274.9261474609375,547.5052490234375,0.3674986660480499
