scorer,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1302.554565,424.8470764,0.892165422,1266.832153,569.1704102,0.804538846,1350.370117,627.8661499,0.824371219
1,1299.843506,424.3083801,0.859996855,1260.21582,568.5886841,0.824253619,1349.351318,627.9510498,0.806892693
2,1300.272827,424.5189514,0.904295921,1260.593994,568.8079224,0.856579542,1348.474121,627.8967285,0.850524664
3,1299.532349,425.821167,0.903651536,1260.053467,570.6696777,0.857372046,1348.335938,626.8880615,0.820389986
4,1297.450317,430.584198,0.931521297,1258.283203,572.4656982,0.872193336,1343.491699,625.9925537,0.844019949
5,1296.20459,430.9573059,0.945661962,1257.376587,574.0577393,0.864689112,1341.944214,628.5109253,0.845421314
6,1292.083862,432.8692627,0.914032936,1255.29187,578.1052246,0.876236916,1338.462402,630.5756836,0.804072022
7,1291.157471,433.7023621,0.925383091,1254.252686,579.0853882,0.911465824,1334.019531,632.6644897,0.76721108
8,1289.805054,436.8645935,0.942800224,1250.662354,580.541626,0.861113787,1331.150269,633.781189,0.807602108
9,1289.080688,437.4343567,0.924790859,1245.508545,586.1743774,0.883209348,1325.883789,636.9384766,0.8073771
10,1288.383179,442.5450439,0.922509789,1244.468506,587.8723755,0.910411417,1324.717041,636.6517944,0.799891472
11,1287.332886,443.0001221,0.937581718,1244.326416,588.4924316,0.927856088,1324.131592,637.7303467,0.793973088
12,1288.377563,444.8641663,0.925897956,1242.944702,588.7973022,0.909691811,1329.229126,637.7476807,0.865435481
13,1288.939209,446.412323,0.872657239,1241.730103,588.6745605,0.902961314,1322.56543,638.5394287,0.831952572
14,1289.135376,448.4940186,0.899313569,1241.712769,588.3665161,0.900446832,1322.525513,638.3028564,0.833621264
15,1289.18042,446.368866,0.905311942,1241.869263,588.1618652,0.91773653,1322.605103,638.4812012,0.835729063
16,1289.520142,439.5910034,0.924245358,1242.341553,587.5413818,0.910507798,1322.417847,637.9119873,0.837949514
17,1289.675781,439.5419922,0.91609025,1243.197144,587.7958374,0.921563983,1319.998413,639.44104,0.812197328
18,1291.182129,440.5604248,0.908633351,1244.328125,587.0758057,0.91764462,1321.940796,636.6882935,0.818131208
19,1292.100952,440.121582,0.913334608,1244.665283,585.7720947,0.918837786,1321.621216,637.0780029,0.826439857
20,1290.55957,437.6436157,0.931775212,1244.796387,584.3443604,0.881087899,1321.737915,636.0233765,0.821850538
21,1290.382446,435.5413208,0.940338969,1244.747559,580.7659302,0.856980205,1321.0448,635.1643066,0.813661873
22,1289.321045,432.9717102,0.927506626,1244.496338,579.6625977,0.870311499,1316.838989,634.9581299,0.816204071
23,1289.82666,433.2236633,0.931760609,1244.68396,578.9143677,0.848377407,1318.295288,633.395874,0.801055431
24,1290.587891,432.2521057,0.932931781,1244.643799,579.8171387,0.87165153,1318.205811,633.4699097,0.784301758
25,1290.434204,432.6452026,0.924180746,1244.078491,579.3677368,0.87765336,1316.869263,636.5216675,0.836152911
26,1290.084839,433.7889099,0.933823466,1243.481201,579.5570679,0.852443755,1315.758179,635.5618896,0.840853512
27,1289.491821,434.1083679,0.935186267,1242.20874,580.8242188,0.822343946,1314.55542,638.75177,0.836015344
28,1288.366699,435.8173828,0.93136096,1241.47229,580.9037476,0.828447223,1310.118042,637.5297241,0.805809617
29,1288.383789,439.3334351,0.920424819,1238.94165,585.211792,0.843123794,1307.539185,640.8513794,0.873909831
30,1288.195435,443.2260437,0.907821476,1237.201172,588.7145386,0.902708054,1305.159424,643.6065674,0.88393271
31,1288.797729,445.3555908,0.918792129,1235.349365,589.8145752,0.876763821,1303.029541,644.0580444,0.842037678
32,1288.47168,445.2466431,0.905109048,1233.945557,592.7890015,0.893501282,1295.095947,644.8684692,0.848810017
33,1285.814331,448.8694153,0.940865397,1229.226807,595.1696777,0.87815249,1291.068848,645.0789795,0.871872365
34,1285.014771,451.3300781,0.947476625,1227.4729,597.3582764,0.856652498,1287.127686,649.5542603,0.898298919
35,1281.576172,454.8002625,0.94388938,1224.528076,600.5333862,0.854864657,1285.253662,650.1140747,0.889411509
36,1282.457764,455.2596741,0.927718461,1223.851563,602.7211914,0.905014634,1286.913574,650.4690552,0.873565435
37,1282.931641,456.4371643,0.889821053,1224.082153,603.1849976,0.895825803,1287.73938,652.2554321,0.849892855
38,1282.056885,459.7657166,0.900933087,1224.853027,604.3759766,0.908151984,1291.177002,652.4077148,0.820128322
39,1282.579834,461.926239,0.911274254,1226.224121,604.9060059,0.90536207,1290.876099,659.8703003,0.853918731
40,1283.54541,464.5006104,0.909602404,1226.937866,605.0479126,0.913568974,1292.900269,660.9489746,0.906787753
41,1285.626099,464.7127686,0.906116009,1228.550537,604.1479492,0.90477562,1294.335938,661.2875977,0.908235669
42,1287.233765,461.4004211,0.895918012,1230.988159,605.4447021,0.878119946,1302.333984,662.7763062,0.877835691
43,1287.4021,460.3415222,0.92128545,1234.814697,603.9351807,0.883239567,1303.008911,663.2592163,0.891919911
44,1289.25769,460.7981262,0.917668402,1235.066772,604.104126,0.881599307,1304.212646,662.5298462,0.87957263
45,1292.024902,455.0411682,0.933475971,1236.400635,604.496582,0.899291635,1304.551147,662.4398193,0.869918585
46,1292.936279,453.8573914,0.941334426,1235.905273,604.8048706,0.904227316,1304.883667,662.2803955,0.884009957
47,1293.624146,452.7909546,0.93972069,1236.655151,602.9690552,0.896714509,1306.06897,661.6456299,0.898019671
48,1293.640381,452.7363281,0.949243546,1237.248291,602.6361084,0.908579111,1305.468262,661.8168945,0.903491199
