scorer,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1504.47021484375,347.24810791015625,0.8156675696372986,1440.7593994140625,428.05908203125,0.9246665239334106,1506.6107177734375,477.2642517089844,0.9287250638008118
1,1505.475830078125,347.6107482910156,0.8118487000465393,1440.987548828125,427.8913269042969,0.9296795129776001,1507.016357421875,477.71417236328125,0.9288347959518433
2,1504.725341796875,348.5293273925781,0.7846847772598267,1441.1788330078125,428.9681701660156,0.9284459352493286,1506.595458984375,477.84228515625,0.9272109270095825
3,1505.7005615234375,349.2480773925781,0.7793373465538025,1441.9429931640625,429.4199523925781,0.9325264096260071,1506.685302734375,478.3820495605469,0.9255340099334717
4,1505.0782470703125,349.2790832519531,0.7527382373809814,1441.310791015625,429.3177795410156,0.9319038391113281,1506.776123046875,478.16650390625,0.9296383857727051
5,1505.9456787109375,349.90179443359375,0.7868484258651733,1441.5882568359375,429.4662780761719,0.9369944930076599,1506.93896484375,478.2354736328125,0.9294173121452332
6,1506.5797119140625,349.58428955078125,0.7767000198364258,1441.779052734375,430.6227722167969,0.9331589937210083,1506.959228515625,477.98797607421875,0.9299741387367249
7,1507.8892822265625,349.4489440917969,0.8002820014953613,1442.864990234375,431.0644226074219,0.9299684762954712,1506.8848876953125,477.92364501953125,0.9299344420433044
8,1508.07373046875,349.5813903808594,0.8216454386711121,1443.1181640625,431.6475830078125,0.9182708263397217,1506.558349609375,477.83367919921875,0.9266855120658875
9,1508.7166748046875,349.2779541015625,0.8374841213226318,1443.188720703125,432.0132751464844,0.9155097603797913,1506.0933837890625,477.9359130859375,0.9261709451675415
10,1509.1871337890625,349.7345886230469,0.7882844805717468,1443.99365234375,432.0663146972656,0.9207955598831177,1505.23828125,477.38018798828125,0.9219452142715454
11,1511.2791748046875,349.2703552246094,0.680003821849823,1444.3250732421875,433.114990234375,0.9305952787399292,1504.7418212890625,477.0013732910156,0.9214667081832886
12,1512.0902099609375,352.2492980957031,0.6336851716041565,1445.5316162109375,434.86907958984375,0.929781973361969,1503.0338134765625,476.1410827636719,0.9241206049919128
13,1519.100830078125,346.3681640625,0.6632729768753052,1446.4239501953125,435.5981140136719,0.9181842803955078,1502.9190673828125,476.10443115234375,0.9321029186248779
14,1518.3824462890625,346.6247253417969,0.7787550687789917,1449.2833251953125,436.31622314453125,0.9375312328338623,1503.1302490234375,475.8847351074219,0.9366238117218018
15,1521.3231201171875,345.6939392089844,0.8590837717056274,1449.8651123046875,435.9689636230469,0.9387357831001282,1502.7686767578125,475.832763671875,0.9360862970352173
16,1521.63525390625,346.6593322753906,0.8133441805839539,1450.23681640625,435.32879638671875,0.9427950382232666,1502.152099609375,475.2717590332031,0.9380143880844116
17,1521.9210205078125,346.7616882324219,0.8247745037078857,1450.0865478515625,435.2444763183594,0.9192443490028381,1501.342041015625,475.40960693359375,0.9382089972496033
18,1522.3970947265625,347.07177734375,0.8223751783370972,1450.9609375,434.4678649902344,0.9153581857681274,1501.39208984375,475.54486083984375,0.9342319965362549
19,1522.7833251953125,348.2113342285156,0.8350886702537537,1450.817626953125,433.98846435546875,0.8982134461402893,1501.9610595703125,475.8697814941406,0.9385882019996643
20,1523.2451171875,348.58343505859375,0.8362331390380859,1451.698974609375,433.5643005371094,0.9024509191513062,1503.3983154296875,475.3067626953125,0.9377206563949585
21,1523.426025390625,348.9788818359375,0.8276959657669067,1452.1846923828125,433.8234558105469,0.910910964012146,1501.788330078125,476.66241455078125,0.9440122842788696
22,1524.3043212890625,350.26629638671875,0.8469464778900146,1452.8748779296875,434.5093078613281,0.9199392795562744,1502.6396484375,475.8819274902344,0.9398266077041626
23,1525.5447998046875,349.1380920410156,0.834999680519104,1453.2591552734375,434.5889587402344,0.9294166564941406,1503.3558349609375,476.6451416015625,0.9340847134590149
24,1527.1240234375,349.29705810546875,0.8486833572387695,1454.80419921875,435.5289306640625,0.9207826852798462,1504.9049072265625,477.7983703613281,0.9287457466125488
25,1526.904052734375,350.3046875,0.8006864190101624,1454.3975830078125,436.39715576171875,0.9172922372817993,1503.53076171875,477.5062255859375,0.9289677143096924
26,1528.1827392578125,349.8885498046875,0.7964096069335938,1455.11865234375,436.0005798339844,0.9169226884841919,1503.8416748046875,477.5260925292969,0.9228891134262085
27,1531.874755859375,346.1787109375,0.7941168546676636,1454.730224609375,435.8530578613281,0.9184408187866211,1505.3153076171875,478.49957275390625,0.9207150936126709
28,1532.1182861328125,346.0499267578125,0.763037383556366,1454.7991943359375,434.095947265625,0.9314548969268799,1505.9591064453125,478.1751708984375,0.9367823004722595
29,1532.745849609375,344.82073974609375,0.7737460136413574,1455.2119140625,434.71405029296875,0.9298093914985657,1506.521728515625,479.4556884765625,0.9334665536880493
30,1533.5079345703125,344.8951416015625,0.803669810295105,1457.9215087890625,435.4652404785156,0.9487462639808655,1507.2855224609375,479.9234619140625,0.9400699734687805
31,1535.648193359375,345.873046875,0.8000981211662292,1458.625,435.7636413574219,0.9485704302787781,1507.7308349609375,479.6084899902344,0.939131498336792
32,1534.5772705078125,344.9178161621094,0.856004536151886,1458.935791015625,435.5308532714844,0.9453169703483582,1507.935302734375,480.07574462890625,0.9379714727401733
33,1534.4090576171875,344.74151611328125,0.8614202737808228,1459.65869140625,436.126220703125,0.9296119213104248,1508.28369140625,480.0755310058594,0.9409043788909912
34,1534.7034912109375,343.9474792480469,0.832014799118042,1460.776611328125,436.29833984375,0.9290153980255127,1508.3028564453125,480.0146484375,0.9324492812156677
35,1536.19580078125,346.1802062988281,0.8312588930130005,1461.303466796875,436.0491943359375,0.92950439453125,1508.666015625,479.79803466796875,0.9338693618774414
